INFO 2025-05-11 13:25:55,019 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/utils/module_loading.py first seen with mtime 1746826653.3313236
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/utils/duration.py first seen with mtime 1746826653.3305204
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1746826653.2061198
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/email/headerregistry.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1746826653.2817888
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/zipfile/_path/glob.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/asgiref/__init__.py first seen with mtime 1746826653.0568168
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/backends/base/introspection.py first seen with mtime 1746826653.310693
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/importlib/abc.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/urllib3/contrib/__init__.py first seen with mtime 1746920160.7649875
